WB        HSG       FY        MWDA      MWDB      GDA       GDC
萬wan4    萬wan4    萬wan4    萬wan4    萬wan4    萬wan4    萬wan4
物wu4     物wu4     物wu4     物wu4     物wu4     物wu4     物wu4
之zhi1    之zhi1    之zhi1    之zhi1    之zhi1    之zhi1    之zhi1
自zi4     自zi4     自zi4     自zi4     自zi4     自zi4     自zi4
然ran2    然ran2    然ran2    □         然ran2    然ran2    然ran2
而er2     而er2     而er2     □         而er2     而er2     而er2
不bu4     不bu4     不bu4     弗fu2     弗fu2     弗fu2     弗fu2
敢gan3    敢gan3    敢gan3    敢gan3    敢gan3    能neng2   敢gan3
為wei2    為wei2    為wei2    為wei2    為wei2    為wei2    為wei2
--        --        也ye3     --        --        --        _
